Dataset,Mean CV Accuracy,Training Accuracy,Precision,Recall,F1-Score
pollution20_knn_smote.csv,88.21249999999999,100.0,1.0,1.0,1.0
pollution20_mean_smote.csv,87.55,100.0,1.0,1.0,1.0
pollution20_mode_smote.csv,86.3375,100.0,1.0,1.0,1.0
pollution20_multiple_imputation_smote.csv,90.75,100.0,1.0,1.0,1.0
pollution40_knn_smote.csv,79.575,99.9875,0.9998750624687656,0.999875,0.9998749999921874
pollution40_mean_smote.csv,80.3625,99.9875,0.9998750624687656,0.999875,0.9998749999921874
pollution40_mode_smote.csv,78.5,99.9875,0.9998750624687656,0.999875,0.9998749999921874
pollution40_multiple_imputation_smote.csv,82.42500000000001,99.9875,0.9998750624687656,0.999875,0.9998749999921874
pollution60_knn_smote.csv,73.875,99.4875,0.9949193595216832,0.994875,0.9948851510790739
pollution60_mean_smote.csv,76.72500000000001,99.4875,0.9949193595216832,0.994875,0.9948851510790739
pollution60_mode_smote.csv,75.3,99.425,0.9943063667231754,0.99425,0.9942628586510037
pollution60_multiple_imputation_smote.csv,76.875,99.4875,0.9949193595216832,0.994875,0.9948851510790739
student_20_knn.csv,88.37238333516912,100.0,1.0,1.0,1.0
student_20_mean.csv,91.9019894782668,100.0,1.0,1.0,1.0
student_20_mode.csv,91.67618657980728,100.0,1.0,1.0,1.0
student_20_multiple_imputation.csv,93.68349829270979,100.0,1.0,1.0,1.0
student_40_knn.csv,68.61135151295808,99.22254616132167,0.992299347229434,0.9922254616132167,0.9922194184611575
student_40_mean.csv,75.25336606295207,99.15775834143182,0.9916225058657115,0.9915775834143181,0.9915725926434078
student_40_mode.csv,75.41496855543842,98.9310009718173,0.9894600206249691,0.989310009718173,0.9893014200512594
student_40_multiple_imputation.csv,74.345591204964,99.19015225137674,0.9919810039029693,0.9919015225137674,0.9918938515759689
student_60_knn.csv,54.00198265959622,83.0255911888565,0.8463982787902563,0.830255911888565,0.8306201329707386
student_60_mean.csv,55.65540536996533,82.89601554907678,0.8452676650310322,0.8289601554907677,0.8292084815508377
student_60_mode.csv,53.61478707389866,81.72983479105929,0.8395624783457875,0.8172983479105929,0.8201680241570258
student_60_multiple_imputation.csv,55.13618983178865,83.15516682863621,0.8483615425599726,0.8315516682863622,0.8319273491665625
weather20_knn_smote.csv,90.21089244851257,100.0,1.0,1.0,1.0
weather20_mean_smote.csv,93.13862046420398,100.0,1.0,1.0,1.0
weather20_mode_smote.csv,94.37371690094804,100.0,1.0,1.0,1.0
weather20_multiple_imputation_smote.csv,93.22994442628311,100.0,1.0,1.0,1.0
weather40_knn_smote.csv,85.08744033998038,99.58828911253431,0.9959165154264973,0.9958828911253431,0.9958828213367541
weather40_mean_smote.csv,90.37141549525988,99.58828911253431,0.9959165154264973,0.9958828911253431,0.9958828213367541
weather40_mode_smote.csv,90.18803530565543,99.58828911253431,0.9959165154264973,0.9958828911253431,0.9958828213367541
weather40_multiple_imputation_smote.csv,87.71786858450474,99.58828911253431,0.9959165154264973,0.9958828911253431,0.9958828213367541
weather60_knn_smote.csv,81.40500817260543,98.03293687099726,0.9810739436619718,0.9803293687099726,0.980321754532949
weather60_mean_smote.csv,87.46638770840146,98.03293687099726,0.9810739436619718,0.9803293687099726,0.980321754532949
weather60_mode_smote.csv,86.18560313828048,98.01006404391582,0.9808622965244171,0.9801006404391582,0.9800927574794648
weather60_multiple_imputation_smote.csv,87.51202353710363,98.03293687099726,0.9810739436619718,0.9803293687099726,0.980321754532949
